#,时间,方向,市场,预测方向,价格,数量,金额USD,ConditionID,AssetID
1,1778082031,卖出,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Down,0.4900,5.00,2.45,0x7d6bfd82f3d90ba785,69978776741347519014
2,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5100,5.00,2.55,0x7d6bfd82f3d90ba785,15908123084125414366
3,1778082031,买入,Will the highest temperature in Houston be 81°F or below on May 6?,No,0.9960,2.38,2.37,0xad324931c4505e687a,37326461804697806299
4,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5100,20.00,10.20,0x7d6bfd82f3d90ba785,15908123084125414366
5,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5100,7.00,3.57,0x7d6bfd82f3d90ba785,15908123084125414366
6,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5100,40.00,20.40,0x7d6bfd82f3d90ba785,15908123084125414366
7,1778082031,买入,"Ethereum Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5100,3.06,1.56,0x4c112397dd7a3c5836,97169328322736502296
8,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5100,5.00,2.55,0x7d6bfd82f3d90ba785,15908123084125414366
9,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5100,5.00,2.55,0x7d6bfd82f3d90ba785,15908123084125414366
10,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5100,5.00,2.55,0x7d6bfd82f3d90ba785,15908123084125414366
11,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5348,31.53,16.86,0x7d6bfd82f3d90ba785,15908123084125414366
12,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5107,43.02,21.97,0x7d6bfd82f3d90ba785,15908123084125414366
13,1778082031,买入,Dota 2: Team Nemesis vs Zero Tenacity (BO3) - 1win Essence Group B,Zero Tenacity,0.5900,221.59,130.74,0xe749a3774e36c0add2,57597306756159792948
14,1778082031,买入,Will the highest temperature in Houston be 81°F or below on May 6?,No,0.9960,813.42,810.17,0xad324931c4505e687a,37326461804697806299
15,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Down,0.5000,5.00,2.50,0x7d6bfd82f3d90ba785,69978776741347519014
16,1778082031,买入,"Bitcoin Up or Down - May 6, 11:40AM-11:45AM ET",Up,0.5058,20.00,10.12,0x7d6bfd82f3d90ba785,15908123084125414366
